headline_main,pub_date,lead_paragraph,Compound_Score
FTX Chief Once Met With Powell. Now D.C. Crypto Lobbyists Are Struggling.,2023-09-27T09:02:38+0000,,-0.4215
"The Big Number: 1,300",2023-10-06T16:42:55+0000,,0.0772
"Gary Wang, an FTX Founder, Says Sam Bankman-Fried Steered Misuse of Funds",2023-10-06T18:18:04+0000,,0.0
Michael Lewis Doesn’t Do Villains,2023-10-06T15:18:54+0000,,-0.6597
New Details About FTX Emerge as Bankman-Fried’s Trial Begins,2023-10-05T12:07:09+0000,,0.0
‘Lied to the World’ or Acted in ‘Good Faith’: Sam Bankman-Fried’s Trial Opens,2023-10-04T19:18:46+0000,,0.0
Sam Bankman-Fried Goes on Trial,2023-10-03T10:00:02+0000,,0.0
What to Know About Sam Bankman-Fried’s Fraud Trial,2023-10-03T13:10:09+0000,,-0.5859
"Today’s Top News: Gaetz Moves to Oust McCarthy, and More",2023-10-03T09:45:10+0000,,0.2023
Even Michael Lewis Can’t Make a Hero Out of Sam Bankman-Fried,2023-10-02T23:41:14+0000,,0.5574
Takeaways From a New Book on Sam Bankman-Fried,2023-10-03T00:08:53+0000,,0.0
The Lawyers Sam Bankman-Fried Once Trusted Are Drawing Criticism,2023-09-21T09:00:59+0000,,0.0516
A $700 Million Bonanza for the Winners of Crypto’s Collapse: Lawyers,2023-09-05T09:01:04+0000,,-0.0258
Sam Bankman-Fried’s Parents Sued by FTX,2023-09-19T08:14:41+0000,,0.0
‘One of the Most Hated People in the World’: Sam Bankman-Fried’s 250 Pages of Justifications,2023-09-14T21:09:16+0000,,-0.6697
Crypto Is Dead? Or Is That Just ‘Fud’?,2023-08-25T09:03:27+0000,,-0.6868
Fourth Top FTX Executive Pleads Guilty Ahead of Sam Bankman-Fried Trial,2023-09-07T14:56:09+0000,,-0.25
"Bread, Water and Peanut Butter: Sam Bankman-Fried’s Life in Jail",2023-09-05T21:31:11+0000,,0.0
Letter to a Young Crypto Enthusiast (or the Merely Curious),2023-08-13T09:00:41+0000,,0.3612
The Paranoid Style in American Plutocrats,2023-08-28T23:00:10+0000,,-0.25
Crypto’s Next Craze? Orbs That Scan Your Eyeballs.,2023-08-07T15:05:19+0000,,-0.1531
Prosecutors Detail Evidence Against Sam Bankman-Fried,2023-08-15T00:35:13+0000,,0.0
Investor Charged With Kidnapping ‘Crypto King’,2023-07-20T13:02:04+0000,,-0.2023
Sam Bankman-Fried Sent to Jail After Judge Revokes Bail,2023-08-11T19:31:19+0000,,0.0
Founder of Bankrupt Crypto Firm Celsius Is Arrested on Fraud Charges,2023-07-13T15:10:01+0000,,-0.9118
Crypto Industry Secures Early Victory in Legal Battle With Regulators,2023-07-13T19:28:19+0000,,0.0516
F.B.I. Searched the Home of Crypto Exchange Founder,2023-07-06T22:14:55+0000,,0.0
"Inside the Private Writings of Caroline Ellison, Star Witness in the FTX Case",2023-07-20T09:00:34+0000,,0.0
How Tom Brady’s Crypto Ambitions Collided With Reality,2023-07-06T09:00:56+0000,,0.0
How a Crypto Fugitive Upended the Politics of a Troubled Balkan Nation,2023-06-24T15:38:27+0000,,-0.4588
Their Crypto Company Collapsed. They Went to Bali.,2023-06-09T15:06:47+0000,,-0.2732
Prosecutors Drop Campaign Finance Charge Against Sam Bankman-Fried,2023-07-27T13:07:50+0000,,-0.2732
Crypto Firms Start Looking Abroad as U.S. Cracks Down,2023-06-07T09:00:26+0000,,0.0
"Crypto Meltdown, What Crypto Meltdown?",2023-01-17T08:00:13+0000,,0.0
Coinbase Accused of Breaking Market Rules as Crypto Crackdown Widens,2023-06-06T12:51:24+0000,,-0.296
Crypto Wants Its Shine Back,2023-03-20T09:00:15+0000,,0.0
Crypto ads are so last year.,2023-02-12T23:46:43+0000,,0.0
2 Charged in Plot to Launder Billions in Cryptocurrency Reach Plea Deal,2023-07-21T18:08:50+0000,,-0.1779
He Went After Crypto Companies. Then Someone Came After Him.,2023-06-18T09:00:36+0000,,0.0
The Crypto Detectives Are Cleaning Up,2023-04-22T09:00:28+0000,,0.0
"Genesis, a Crypto Lending Firm, Files for Bankruptcy",2023-01-20T06:45:14+0000,,0.0
Binance Faces Mounting Pressure as U.S. Crypto Crackdown Intensifies,2023-04-26T07:00:08+0000,,-0.296
Government Cracks Down on Crypto Industry With Flurry of Actions,2023-02-18T08:00:09+0000,,0.0
The Crypto Collapse and the End of the Magical Thinking That Infected Capitalism,2023-01-16T10:00:16+0000,,-0.7506
The S.E.C.’s Crypto Crackdown Intensifies,2023-01-13T13:07:14+0000,,0.0
Authorities Step Up Their Crypto Crackdown,2023-02-17T12:36:57+0000,,0.0
"Binance Is Hiding U.S. Crypto Trading Activity, Regulator Says",2023-03-27T16:52:23+0000,,-0.296
"FTX Founder Gamed Markets, Crypto Rivals Say",2023-01-18T18:33:21+0000,,0.0
S.E.C. Accuses Binance of Mishandling Funds and Lying to Regulators,2023-06-05T15:14:38+0000,,-0.7003
Crypto Crackdown: Coinbase and Binance Lawsuits Shake Markets,2023-06-07T09:01:22+0000,,-0.3182
Pressure Grows on Another Crypto Giant,2023-03-06T12:44:16+0000,,-0.296
Which Celebrities Are Facing Backlash for Crypto Promotion?,2023-03-23T23:30:08+0000,,0.0
Trump Picks Paul Atkins to Run the S.E.C.,2024-12-04T17:59:26+0000,,0.0
Trump Media May Be Mulling a Crypto Payment Service,2024-11-21T18:58:42+0000,,0.0
The Cryptocurrency You May Not Even Know You Own,2024-12-06T10:02:42+0000,,0.0
"Bitcoin Hits a Milestone: $100,000",2024-12-05T02:55:01+0000,,0.0
The NFT Is Dead. Long Live the NFT?,2024-12-05T10:02:24+0000,,-0.6486
Trump Organization Plans an Ethics Policy Without Banning Foreign Deals,2024-12-05T10:06:03+0000,,0.0
Will Trump Be the President of Vice?,2024-12-04T10:02:33+0000,,0.0
How Crypto Enthusiasts Hijacked a Dog Mayor Competition,2024-11-13T16:04:31+0000,,0.34
Crypto Industry Lobbies Trump and His Allies to Capitalize on Election Wins,2024-11-13T10:02:42+0000,,0.5719
Peeling the $6.2 Million Banana: An Auction Explainer,2024-11-21T21:32:20+0000,,0.0
"Gary Wang, a Top FTX Executive, Is Given No Prison Time",2024-11-20T15:44:49+0000,,-0.5719
The Crypto Industry Spent Over $130 Million on the Election. It Paid Off.,2024-11-06T16:53:10+0000,,0.0
Bitcoin Surges to Record as Crypto Investors Cheer Trump Win,2024-11-06T03:52:36+0000,,0.7964
Mr. Musk Goes to Washington — With a $2 Trillion Agenda,2024-11-13T12:47:17+0000,,0.0
Bitcoin and Stocks Set Records as Bullish Bets Continue,2024-11-11T15:03:57+0000,,0.0
A Banker Is Scouting Trump’s Nominees. Some Will Oversee His Interests.,2024-11-09T13:33:46+0000,,0.25
What a Trump Victory Means for Tech,2024-11-06T17:08:05+0000,,0.0
"Cryptocurrency Markets, Promoted by Trump, Brace for Election Volatility",2024-11-05T11:34:45+0000,,0.4215
Why Harris and Trump Are Pandering to Crypto Plutocrats,2024-10-23T19:05:04+0000,,0.0
The Crypto Website Where the Election Odds Swing in Trump’s Favor,2024-10-25T09:06:27+0000,,0.4019
How Two Allies Wrestled Over a Crypto Giant and a Prisoner,2024-10-24T13:37:58+0000,,-0.5423
Kraken Lays Off 15% of Workers and Names New Co-Chief Executive,2024-10-30T20:18:30+0000,,0.0
"Nishad Singh, a Top FTX Executive, Is Given No Prison Time After Cooperation",2024-10-30T20:23:29+0000,,-0.5719
How FTX’s Young Executives Shattered Their Parents,2024-10-30T09:02:24+0000,,-0.4767
Read a letter from Sam Bankman-Fried’s father.,2024-10-30T11:20:17+0000,,0.0
Here is the letter from Caroline Ellison’s parents to Judge Kaplan.,2024-10-30T11:21:21+0000,,0.0
Here is the letter from Sam Bankman-Fried’s parents to Judge Kaplan.,2024-10-30T11:15:26+0000,,0.0
How Donald Trump Is Making Big Promises to Big Business,2024-10-26T09:04:15+0000,,0.3818
Charges Dropped in Case Against Binance Employee Held in Nigeria,2024-10-23T12:36:39+0000,,-0.2732
The Endless Downfall of a Crypto Power Couple,2024-10-10T09:00:28+0000,,0.0
The ‘Crypto Punks’ Behind Trump’s Murky New Business Venture,2024-10-07T09:01:40+0000,,0.0
Is the Trump Trade Back?,2024-10-17T12:11:36+0000,,0.0
Why Trump Wants to Make America the ‘Crypto Capital of the Planet’,2024-10-02T09:03:36+0000,,0.0
A New Bitcoin Documentary Reopens the Search for Satoshi Nakamoto,2024-10-09T01:00:07+0000,,0.0
The Tech Bro Style in American Politics,2024-09-26T23:00:07+0000,,0.0
Why Do People Like Elon Musk Love Donald Trump? It’s Not Just About Money.,2024-09-25T09:04:35+0000,,0.7717
"Caroline Ellison, Star Witness at FTX Trial, Is Sentenced to 2 Years in Prison",2024-09-24T20:17:43+0000,,-0.5267
Donald Trump Prepares to Unveil a Cryptocurrency Business,2024-09-13T17:45:35+0000,,0.0
"2 Stole $230 Million in Cryptocurrency and Went on a Spending Spree, U.S. Says",2024-09-20T20:08:21+0000,,0.0
"Caroline Ellison, Star Witness in FTX Case, Should Receive Lenient Sentence, Prosecutors Signal",2024-09-17T20:17:57+0000,,0.34
Trump Rolls Out His New Cryptocurrency Business,2024-09-17T01:43:50+0000,,0.0
Naked Emperors and Crypto Campaign Cash,2024-08-29T23:00:08+0000,,0.0
Sam Bankman-Fried Files Appeal to Overturn Fraud Conviction,2024-09-13T19:09:36+0000,,-0.5859
U.S. Presses Nigeria to Release Imprisoned Binance Employee,2024-09-12T16:45:58+0000,,-0.4588
Telegram’s Loudest Defender: The Global Crypto Industry,2024-08-27T15:22:14+0000,,0.1027
Crypto Lobbyist Charged With Breaking Campaign Finance Rules,2024-08-22T21:28:57+0000,,-0.2023
The Unraveling of a Crypto Dream,2024-08-13T04:01:30+0000,,0.25
Don’t Get Fooled Again by Crypto,2024-08-09T09:03:25+0000,,-0.3818
How 2024 Became a Crypto Election,2024-08-01T23:00:06+0000,,0.0
We All Live in Vegas Now,2024-08-21T19:05:04+0000,,0.0
He Was an Online Drug Lord. Now He’s a Crypto Entrepreneur.,2024-07-24T09:01:54+0000,,0.0
"From Tips to TikTok, Trump Swaps Policies With Aim to Please Voters",2024-08-08T14:35:48+0000,,0.3182
"Bitcoin and other cryptocurrencies plunge, mirroring global markets.",2024-08-05T14:50:55+0000,,0.0
A Digital Coin Based on Baby Trump? Yup.,2024-07-27T07:00:28+0000,,0.0
A Crypto Bull’s Big Tax Settlement,2024-06-03T11:31:14+0000,,0.0
How Crypto Money Is Poised to Influence the Election,2024-06-17T16:00:18+0000,,0.25
The Night That Sotheby’s Was Crypto-Punked,2024-05-18T09:00:55+0000,,0.0
The Crypto Comeback,2024-05-21T10:00:10+0000,,0.0
"When Sports Games Feel Like Casinos, Players Rarely Win",2024-07-22T09:00:23+0000,,-0.1461
How a Crypto Compliance Officer Ended Up in a Nigerian Prison,2024-04-18T16:10:35+0000,,-0.5106
Crypto Funds Have Arrived. But Who Needs Them?,2024-01-19T14:00:11+0000,,0.0
Crypto Super PAC to Target Races in Ohio and Montana That Could Swing the Senate,2024-03-08T15:47:32+0000,,0.5994
Manhattan Woman Convicted of Using Crypto to Fund Terror Groups in Syria,2024-02-01T22:44:17+0000,,-0.5267
Is Crypto Back? What to Know About Bitcoin’s Surge.,2024-03-05T19:29:31+0000,,0.0
This Man Did Not Invent Bitcoin,2024-05-21T09:02:05+0000,,0.0
Bloomberg and Crypto Billionaire Among Donors to Adams’s Legal Defense,2024-01-16T22:47:56+0000,,0.25
"Mediapocalypse Now, a16z’s Chris Dixon Defends Crypto, and HatGPT",2024-01-26T10:01:44+0000,,0.0
Trump Names Top Silicon Valley Conservative to Oversee Crypto and A.I.,2024-12-06T02:36:14+0000,,0.2023
"Trump, Appealing to Bitcoin Fans, Vows U.S. Will Be ‘Crypto Capital of the Planet’",2024-07-28T02:22:34+0000,,0.0
"Crypto PAC Jumps Into Senate Race, Opposing Katie Porter in California",2024-02-13T10:03:07+0000,,0.0
What Meltdown? Crypto Comes Roaring Back in the Philippines.,2024-03-18T04:00:22+0000,,0.0
Crypto Congress + HBD ChatGPT + What Social Media Platform Should I Be On?,2024-11-15T12:00:06+0000,,0.0
Is Cryptocurrency Like Stocks and Bonds? Courts Move Closer to an Answer.,2024-01-26T10:01:13+0000,,0.3612
Quote of the Day: Crypto Entrepreneur Pays $6.2 Million for Banana-as-Art,2024-11-22T04:59:00+0000,,0.0
Sam Bankman-Fried Sentenced to 25 Years in Prison,2024-03-28T15:47:29+0000,,-0.5267
"He’s Lost His Marriage, His Followers and His Lamborghini",2024-02-02T16:23:30+0000,,-0.3182
"Regulators Approve New Type of Bitcoin Fund, in Boon for Crypto Industry",2024-01-10T21:34:28+0000,,0.0
Who’s Laughing Now? Banana-as-Art Sells for $6.2 Million at Sotheby’s,2024-11-21T00:54:25+0000,,0.4939
High Food Prices: The Causes and the Politics,2024-08-19T16:25:44+0000,,0.0
Top FTX Executive Sentenced to 7½ Years in Prison,2024-05-28T16:07:43+0000,,-0.3818
U.S. Approves Investment Product Tied to Popular Cryptocurrency Ether,2024-05-24T01:40:22+0000,,0.6705
"Kabosu, Shiba Inu Who Helped Define the Doge Meme, Dies at 18",2024-05-24T11:27:54+0000,,0.0
Sam Bankman-Fried Transferred From Brooklyn Jail,2024-05-22T16:49:14+0000,,0.0
Biden Bans Chinese Bitcoin Mine Near U.S. Nuclear Missile Base,2024-05-14T01:23:38+0000,,0.0
The Big Number: $8 Billion,2024-05-10T15:53:23+0000,,0.0772
FTX Customers Poised to Recover All Funds Lost in Collapse,2024-05-08T05:31:36+0000,,-0.5423
"Behind Nigeria’s Arrest of Binance Employee, Claims of a Bribe Request",2024-05-07T08:00:07+0000,,-0.4939
Binance Founder Sentenced to 4 Months in Prison,2024-04-30T19:01:56+0000,,-0.5267
"Even as He Faces Prison Time, Binance’s Founder Plans a Comeback",2024-04-30T04:00:09+0000,,-0.5106
Countdown Is On for the Bitcoin ‘Halving’,2024-04-18T16:11:55+0000,,0.0
New York Woman Gets 18 Years for Funding Terrorism With Cryptocurrency,2024-04-30T20:12:27+0000,,-0.6808
"Binance Founder Should Get 3 Years in Prison, Prosecutors Say",2024-04-24T16:09:16+0000,,-0.5106
"Bitcoin Hits Record High, Completing a Stunning Comeback",2024-03-05T15:07:41+0000,,0.3818
Bitcoin’s Winning Streak Continues,2024-03-12T15:50:12+0000,,0.5267
How Sam Bankman-Fried’s Sentence Compares With Other White-Collar Cases,2024-03-28T15:53:10+0000,,0.0772
"A Hack of the S.E.C.’s Social Media Account Caused a Bitcoin Frenzy, Briefly",2024-01-09T22:34:34+0000,,-0.3182
$4 Billion of New Bitcoin Funds Change Hands in First Trading Day,2024-01-11T20:01:02+0000,,0.0
"The Big Number: $68,789",2024-03-01T17:18:31+0000,,0.0772
How Donald Trump Is Making Big Promises to Big Business,2024-10-30T14:46:43+0000,,0.3818
A Question No One Was Asking: What if Elon Musk Was on the Bulls?,2024-12-02T22:02:11+0000,,-0.296
